,Unnamed: 0,mrt_mult,int_adj,sur_mult,PVFP
24,24,0.92,-0.04,1.1,436558.89381660963
25,25,0.92,-0.04,1.15,421304.22906140826
26,26,0.92,-0.03,1.1,403278.2427702921
27,27,0.92,-0.03,1.15,389364.1322071474
28,28,0.92,-0.020000000000000004,1.1,373197.6419301696
29,29,0.92,-0.020000000000000004,1.15,360478.48727374774
30,30,0.92,-0.010000000000000002,1.1,345946.6760079607
31,31,0.92,-0.010000000000000002,1.15,334294.9038555841
32,32,0.92,0.0,1.1,321203.3306967789
33,33,0.92,0.0,1.15,310506.9352306106
34,34,0.92,0.009999999999999995,1.1,298687.0665694523
35,35,0.92,0.009999999999999995,1.15,288847.51427327184
36,36,0.92,0.020000000000000004,1.1,278152.9598150375
37,37,0.92,0.020000000000000004,1.15,269083.3992533164
38,38,0.92,0.03,1.1,259386.73488098246
39,39,0.92,0.03,1.15,251010.4640772632
40,40,0.92,0.04,1.1,242200.54438843078
41,41,0.92,0.04,1.15,234449.69616497122
42,42,0.92,0.05,1.1,226429.3764761046
43,43,0.92,0.05,1.15,219243.78858316803
44,44,0.94,-0.05,1.1,465801.02066157345
45,45,0.94,-0.05,1.15,449291.19678689307
46,46,0.94,-0.04,1.1,429466.81367386604
47,47,0.94,-0.04,1.15,414439.42538315494
48,48,0.94,-0.03,1.1,396698.7586584818
49,49,0.94,-0.03,1.15,382990.15500328375
50,50,0.94,-0.020000000000000004,1.1,367077.3548138453
51,51,0.94,-0.020000000000000004,1.15,354544.42639905313
52,52,0.94,-0.010000000000000002,1.1,340238.67826019786
53,53,0.94,-0.010000000000000002,1.15,328756.0218886585
54,54,0.94,0.0,1.1,315866.3296114475
55,55,0.94,0.0,1.15,305323.835476065
56,56,0.94,0.009999999999999995,1.1,293684.6362573018
57,57,0.94,0.009999999999999995,1.15,283985.4304771635
58,58,0.94,0.020000000000000004,1.1,273452.9013623887
59,59,0.94,0.020000000000000004,1.15,264511.5879742935
60,60,0.94,0.03,1.1,254960.52799351423
61,61,0.94,0.03,1.15,246701.68382046
62,62,0.94,0.04,1.1,238022.8765009357
63,63,0.94,0.04,1.15,230379.75999663453
64,64,0.94,0.05,1.1,222477.73758954566
65,65,0.94,0.05,1.15,215391.1791028435
66,66,0.96,-0.05,1.1,458138.8519462133
67,67,0.96,-0.05,1.15,441880.79254658014
68,68,0.96,-0.04,1.1,422377.8071270989
69,69,0.96,-0.04,1.15,407577.569610151
70,70,0.96,-0.03,1.1,390122.0370565851
71,71,0.96,-0.03,1.15,376618.82850669726
72,72,0.96,-0.020000000000000004,1.1,360959.5558018988
73,73,0.96,-0.020000000000000004,1.15,348612.75399989035
74,74,0.96,-0.010000000000000002,1.1,334532.9260988928
75,75,0.96,-0.010000000000000002,1.15,323219.2965694384
76,76,0.96,0.0,1.1,310531.3593682263
77,77,0.96,0.0,1.15,300142.6870285471
78,78,0.96,0.009999999999999995,1.1,288684.04627841443
79,79,0.96,0.009999999999999995,1.15,279125.1157655491
80,80,0.96,0.020000000000000004,1.1,268754.5139212014
81,81,0.96,0.020000000000000004,1.15,259941.38377207922
82,82,0.96,0.03,1.1,250535.84135130286
83,83,0.96,0.03,1.15,242394.3663410341
84,84,0.96,0.04,1.1,233846.59437247622
85,85,0.96,0.04,1.15,226311.1578464602
86,86,0.96,0.05,1.1,218527.3642843665
87,87,0.96,0.05,1.15,211539.7885431121
88,88,0.98,-0.05,1.1,450480.10830890853
89,89,0.98,-0.05,1.15,434473.67190104094
90,90,0.98,-0.04,1.1,415291.87251329154
91,91,0.98,-0.04,1.15,400718.66014973685
92,92,0.98,-0.03,1.1,383548.0764902578
93,93,0.98,-0.03,1.15,370250.15130509186
94,94,0.98,-0.020000000000000004,1.1,354844.2435849674
95,95,0.98,-0.020000000000000004,1.15,342683.46882170584
96,96,0.98,-0.010000000000000002,1.1,328829.4183591969
97,97,0.98,-0.010000000000000002,1.15,317684.72678156785
98,98,0.98,0.0,1.1,305198.41892907035
99,99,0.98,0.0,1.15,294963.4888929832
100,100,0.98,0.009999999999999995,1.1,283685.2957061961
